KD PERFORMANCE,,,,,,
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,34.800,15,1,"6,67%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,457.500,15,15,"100,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,170.000,15,4,"26,67%"
,,Tropicana Slim Classic 100 sachet,243.000,15,3,"20,00%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,651.000,15,6,"40,00%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,462.000,30,4,"13,33%"
,,Tropicana Slim Gula Buah 50 Sachet - Alami untuk Batasi Gula,0,5,0,"0,00%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,258.400,15,4,"26,67%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,0,15,0,"0,00%"
,,Tropicana Slim Madu 350ml - Bebas Gula,344.000,5,5,"100,00%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,0,5,0,"0,00%"
,,Tropicana Slim Milk Low Fat Vanilla 500gr,253.500,15,3,"20,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,150.400,10,4,"40,00%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,155.400,15,2,"13,33%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,48.000,15,1,"6,67%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,1.005.000,15,15,"100,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),0,15,0,"0,00%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,1.456.200,35,18,"51,43%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,322.000,30,1,"3,33%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,152.000,15,1,"6,67%"
,2024-07-10 Total,,10.325.000,515,126,"24,47%"
,2024-07-11,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,198.900,10,1,"10,00%"
,,HiLo Active Chocolate 1000gr,435.000,30,3,"10,00%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,435.000,15,3,"20,00%"
,,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,466.500,15,3,"20,00%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,2.370.000,45,15,"33,33%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),262.800,15,9,"60,00%"
,,HiLo School Original 400gr - Susu Tinggi Kalsium Lebih Rendah Lemak,0,5,0,"0,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,3.078.000,40,19,"47,50%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,438.000,15,15,"100,00%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,384.000,10,3,"30,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,179.800,10,2,"20,00%"
,,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,210.000,30,6,"20,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,1.281.000,45,42,"93,33%"
,,Tropicana Slim Classic 100 sachet,324.000,30,4,"13,33%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,313.500,30,11,"36,67%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,155.400,30,2,"6,67%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,469.000,15,7,"46,67%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,0,10,0,"0,00%"
,,Tropicana Slim Strawberry jam,152.000,15,2,"13,33%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),333.200,15,4,"26,67%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,2.507.900,45,31,"68,89%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,0,15,0,"0,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,Twin Pack - L-Men Protein Bar Strongberry 12 Sachet - Tinggi Protein,387.600,30,2,"6,67%"
,2024-07-11 Total,,14.381.600,575,184,"32,00%"
,2024-07-12,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,0,10,0,"0,00%"
,,HiLo Active Chocolate 1000gr,870.000,30,6,"20,00%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,145.000,15,1,"6,67%"
,,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,155.500,15,1,"6,67%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,1.738.000,45,11,"24,44%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),0,15,0,"0,00%"
,,HiLo School Original 400gr - Susu Tinggi Kalsium Lebih Rendah Lemak,210.000,5,5,"100,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,5.832.000,40,36,"90,00%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,87.600,15,3,"20,00%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,269.700,10,3,"30,00%"
,,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,245.000,30,7,"23,33%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,366.000,45,12,"26,67%"
,,Tropicana Slim Classic 100 sachet,243.000,30,3,"10,00%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,114.000,30,4,"13,33%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,310.800,30,4,"13,33%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,0,15,0,"0,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,67.000,15,2,"13,33%"
,,Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,580.000,10,5,"50,00%"
,,Tropicana Slim Strawberry jam,380.000,15,5,"33,33%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),333.200,15,4,"26,67%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,3.316.900,45,41,"91,11%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,0,15,0,"0,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,Twin Pack - L-Men Protein Bar Strongberry 12 Sachet - Tinggi Protein,387.600,30,2,"6,67%"
,2024-07-12 Total,,15.651.300,590,155,"26,27%"
,2024-07-13,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,198.900,10,1,"10,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),332.000,20,10,"50,00%"
,,HiLo Active Chocolate 1000gr,145.000,30,1,"3,33%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,435.000,15,3,"20,00%"
,,HiLo Gold Chocolate 1000gr - Susu Tinggi Kalsium Rendah Lemak,311.000,15,2,"13,33%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,2.054.000,45,13,"28,89%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),146.000,15,5,"33,33%"
,,HiLo School Original 400gr - Susu Tinggi Kalsium Lebih Rendah Lemak,210.000,5,5,"100,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,3.726.000,40,23,"57,50%"
,,HiLo Teen Chocolate 200ml (24 Pack) -Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,116.800,15,4,"26,67%"
,,HiLo Teen Vanilla Caramel 750gr - Susu Tinggi Kalsium,896.000,10,7,"70,00%"
,,Triple Pack: Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,629.300,10,7,"70,00%"
,,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,70.000,30,2,"6,67%"
,,Tropicana Slim Beras Porang Instan 1000gr,1.494.000,15,9,"60,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,976.000,45,32,"71,11%"
,,Tropicana Slim Classic 100 sachet,810.000,30,10,"33,33%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,0,15,0,"0,00%"
,,Tropicana Slim Kecap Manis 200ml - Bebas Gula Rendah Garam,541.500,30,19,"63,33%"
,,Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,233.100,30,3,"10,00%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,201.000,15,3,"20,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,67.000,15,2,"13,33%"
,,Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,116.000,10,1,"10,00%"
,,Tropicana Slim Strawberry jam,228.000,15,3,"20,00%"
,,Tropicana Slim Sweetener DIABTX (100 Sachet),249.900,15,3,"20,00%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,3.640.500,45,45,"100,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,0,15,0,"0,00%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,0,10,0,"0,00%"
,,Twin Pack - L-Men Protein Bar Strongberry 12 Sachet - Tinggi Protein,193.800,30,1,"3,33%"
,,Twin Pack - Tropicana Slim Beras Merah Organik 1 KG - Lebih Pulen,146.600,5,2,"40,00%"
,2024-07-13 Total,,18.167.400,630,216,"34,29%"
,2024-07-14,12 Pack - Tropicana Slim Oat Drink 190 ml (RTD) - Minuman Bebas Gula,195.000,15,2,"13,33%"
,,12 Packs - Tropicana Slim Almond Drink 190ml- Ready to Drink Cokelat,0,15,0,"0,00%"
,,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,Buy 4 Get 1 FREE: Tropicana Slim Shirataki Noodles (71gr),396.400,15,4,"26,67%"
,,HiLo Platinum Original 360gr (12 Sch) - Susu Tinggi Kalsium,815.500,15,7,"46,67%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,410.000,15,4,"26,67%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),0,15,0,"0,00%"
,,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,29.200,15,1,"6,67%"
,,L-Men Gain Mass Chocolate 500 gr,451.500,15,3,"20,00%"
,,L-Men Hi Protein 2 Go Chocolate (24 pcs) - 12gr Protein / Serving,0,15,0,"0,00%"
,,L-Men Hi Protein Whey Advanced Cappuccino 250gr,0,11,0,"0,00%"
,,L-Men Isopower Stargizing 30 Sch - Creatine & Vitamin B Rasa Starfruit,108.800,15,1,"6,67%"
,,L-Men Platinum Vanilla Caramel 800g - Suplemen Olahraga Tinggi Protein,366.000,15,1,"6,67%"
,,NutriSari 4 Rasa Local Package (40 Sch),199.600,10,4,"40,00%"
,,NutriSari Jeruk Nipis (40 Sch),149.700,15,3,"20,00%"
,,Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,180.000,15,3,"20,00%"
,,Tropicana Slim 7 Fruits Fiber Daily 12 Sachet,108.300,5,1,"20,00%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,0,15,0,"0,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,110.400,10,3,"30,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,457.500,30,15,"50,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,382.500,30,9,"30,00%"
,,Tropicana Slim Cookies Package (3 Box @5 Sachet),93.200,12,1,"8,33%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),97.600,30,1,"3,33%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,260.000,10,10,"100,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,150.400,20,4,"20,00%"
,,Tropicana Slim Minyak Jagung 946ml (Botol),0,15,0,"0,00%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,26.700,10,1,"10,00%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,33.500,15,1,"6,67%"
,,Tropicana Slim Skim Milk Fiber Pro 500gr - Susu Turunkan Kolesterol,0,15,0,"0,00%"
,,Tropicana Slim Susu Low Fat Macchiato Coffee 500gr - Susu Rendah Lemak,338.000,15,4,"26,67%"
,,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,0,15,0,"0,00%"
,,Twin Pack - HiLo Teen Original 400 gram - Susu Tinggi Kalsium,0,13,0,"0,00%"
,,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Extra Virgin Olive Oil 500ml,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Non Fat Skim Milk Fitosterol Coffee 500gr,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Strawberry Jam 375gr - Selai Bebas Gula,0,15,0,"0,00%"
,2024-07-14 Total,,5.393.300,581,84,"14,46%"
,2024-07-15,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),0,10,0,"0,00%"
,,HiLo Platinum Original 360gr (12 Sch) - Susu Tinggi Kalsium,0,30,0,"0,00%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),175.200,15,6,"40,00%"
,,HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,36.000,15,1,"6,67%"
,,HiLo Teen Chocolate 200ml (4 Pcs) - Ready to Drink,0,15,0,"0,00%"
,,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,528.000,10,6,"60,00%"
,,HiLo Teen HI PROTEIN Melon 400 g ��� Susu Kalsium Remaja Tinggi Protein,0,15,0,"0,00%"
,,HiLo Teen Vanilla Caramel 500gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,L-Men Gain Mass Taro 500gr - Suplemen Olahraga Tinggi Whey Protein,0,15,0,"0,00%"
,,L-Men Hi Protein 2 Go Chocolate (4 pcs) - 12gr Protein / Serving,0,15,0,"0,00%"
,,L-Men Plant Protein Ogura 216gr,945.000,15,15,"100,00%"
,,NutriSari Jeruk Peras Refill 500gr,585.000,15,15,"100,00%"
,,NutriSari Nostalgia Jeruk Manis Pitcher 300g- NutriSari Botol Kaca,0,15,0,"0,00%"
,,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,439.800,15,3,"20,00%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,293.200,15,2,"13,33%"
,,Tropicana Slim 7 Fruits Fiber Daily 12 Sachet,0,15,0,"0,00%"
,,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,175.000,15,5,"33,33%"
,,Tropicana Slim Classic 100 sachet,648.000,15,8,"53,33%"
,,Tropicana Slim Gula Jawa 350ml - Bebas Gula,323.000,15,5,"33,33%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,261.000,15,3,"20,00%"
,,Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,48.000,15,1,"6,67%"
,,Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,0,14,0,"0,00%"
,,Tropicana Slim Peanut Almond Butter Spread 300gr ��� Selai Tanpa Gula,67.000,15,1,"6,67%"
,,Tropicana Slim Shirataki Rice 72gr - Nasi Uduk,0,15,0,"0,00%"
,,Tropicana Slim Sirup Cocopandan - Sirup Bebas Gula,134.000,15,4,"26,67%"
,,Tropicana Slim Sirup Orange - Sirup Bebas Gula,67.000,30,2,"6,67%"
,,Tropicana Slim Strawberry jam,76.000,15,1,"6,67%"
,,Tropicana Slim Susu Low Fat Macchiato Coffee 500gr - Susu Rendah Lemak,253.500,15,3,"20,00%"
,,Tropicana Slim Sweetener Gula Aren (50 Sch),225.000,5,5,"100,00%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,1.213.500,15,15,"100,00%"
,,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,254.000,29,1,"3,45%"
,,Twin Pack - W'Dank Sereh Jahe Nipis (10 Sch) - Tinggi Vitamin C & D,0,15,0,"0,00%"
,,Twin Pack NutriSari Nostalgia Jeruk Manis Pitcher 300g - Botol Kaca,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Kecap Manis 200ml,395.500,15,7,"46,67%"
,,Twin Pack: Tropicana Slim Non Fat Skim Milk Fitosterol Coffee 500gr,0,15,0,"0,00%"
,,Twin Pack: Tropicana Slim Sirup Cocopandan 750ml,64.900,5,1,"20,00%"
,2024-07-15 Total,,7.207.600,553,110,"19,89%"
,2024-07-16,HiLo Teen Coffee Tiramisu 200ml (4 Pcs) - Ready to Drink,0,13,0,"0,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,88.000,5,1,"20,00%"
,,L-Men Gain Mass Chocolate 500 gr,451.500,44,3,"6,82%"
,,L-Men Hi Protein 2 Go Chocolate (24 pcs) - 12gr Protein / Serving,303.000,15,1,"6,67%"
,,NutriSari 4 Rasa Local Package (40 Sch),49.900,10,1,"10,00%"
,,NutriSari American Sweet Orange (40 Sch),149.700,15,3,"20,00%"
,,NutriSari Jeruk peras (40 Sch),249.500,5,5,"100,00%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,34.800,15,1,"6,67%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,331.200,10,9,"90,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,610.000,30,20,"66,67%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,212.500,30,5,"16,67%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,312.000,20,12,"60,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,488.800,20,13,"65,00%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,0,30,0,"0,00%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,208.800,30,6,"20,00%"
,,Twin Pack: HiLo Gold Original (Plain) 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,Twin Pack: HiLo School Vanilla 1000gr - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,Twin Pack: HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,0,13,0,"0,00%"
,,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,85.500,15,1,"6,67%"
,2024-07-16 Total,,3.575.200,350,81,"23,14%"
,2024-07-17,12 Packs - Tropicana Slim Almond Drink 190ml- Ready to Drink Cokelat,416.000,30,4,"13,33%"
,,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,4 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (4pcs),99.600,15,3,"20,00%"
,,HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,615.000,15,6,"40,00%"
,,HiLo School Chocolate 200ml - Ready to Drink (4 Pcs),29.200,10,1,"10,00%"
,,HiLo School Strawberry 10 Sch - Susu Tinggi Kalsium Lebih Rendah Lemak,216.000,15,6,"40,00%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,1.264.000,15,8,"53,33%"
,,HiLo Teen Chocolate 500gr - Susu Tinggi Kalsium,880.000,10,10,"100,00%"
,,L-Men Gain Mass Taro 500gr - Suplemen Olahraga Tinggi Whey Protein,0,5,0,"0,00%"
,,L-Men Hi Protein 2 Go Chocolate (24 pcs) - 12gr Protein / Serving,0,15,0,"0,00%"
,,L-Men Hi Protein 2 Go Chocolate (4 pcs) - 12gr Protein / Serving,0,15,0,"0,00%"
,,L-Men Platinum Vanilla Caramel 800g - Suplemen Olahraga Tinggi Protein,0,15,0,"0,00%"
,,NutriSari 4 Rasa Local Package (40 Sch),499.000,10,10,"100,00%"
,,NutriSari Jeruk Peras Refill 500gr,156.000,15,4,"26,67%"
,,Triple Pack: HiLo School Chocolate 10 Sachet - Susu Tinggi Kalsium,586.400,15,4,"26,67%"
,,Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,0,15,0,"0,00%"
,,Tropicana Slim Almond Drink 190ml (4 pcs) - Ready to Drink Cokelat,70.000,10,2,"20,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,368.000,10,10,"100,00%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,762.500,30,25,"83,33%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,127.500,30,3,"10,00%"
,,Tropicana Slim Collagen Drink Strawberry 200g - Kolagen Bebas Gula,905.000,15,5,"33,33%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),878.400,30,9,"30,00%"
,,Tropicana Slim Low Fat Milk Korean Strawberry 500gr ��� Susu Kolagen,87.000,15,1,"6,67%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,286.000,20,11,"55,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,338.400,20,9,"45,00%"
,,Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,0,15,0,"0,00%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,801.000,30,30,"100,00%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,67.000,30,2,"6,67%"
,,Tropicana Slim Skim Milk Fiber Pro 500gr - Susu Turunkan Kolesterol,0,15,0,"0,00%"
,,Tropicana Slim Sweetener Stevia 100 Sch - Pemanis Alami,1.213.500,15,15,"100,00%"
,,Twin Pack - HiLo Platinum + HMB 8 Sachet - Susu Tinggi Protein,0,15,0,"0,00%"
,,Twin Pack - HiLo Teen Original 400 gram - Susu Tinggi Kalsium,0,13,0,"0,00%"
,,Twin Pack - Tropicana Slim Salted Caramel Cocoa 10 Sachet (2pcs),64.000,15,1,"6,67%"
,,Twin Pack - W'Dank Sereh Jahe Nipis (10 Sch) - Tinggi Vitamin C & D,27.800,15,1,"6,67%"
,,Twin Pack: HiLo Gold Original (Plain) 1000gr - Susu Tinggi Kalsium,930.000,15,3,"20,00%"
,,Twin Pack: HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,1.932.000,11,6,"54,55%"
,,Twin Pack: Tropicana Slim Beras Porang Instan 1000gr,3.150.000,15,15,"100,00%"
,,Twin Pack: Tropicana Slim Extra Virgin Olive Oil 500ml,0,5,0,"0,00%"
,,Twin Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Sugar FREE,136.500,15,3,"20,00%"
