Produk ID,Original Price,Recommended Price
9445539433,266.000,228.000
490166602,103.500,88.100
1457705910,71.000,55.500
6174446505,324.000,224.600
9321210365,238.000,235.620
6704882046,25.000,18.400
644615794,62.000,50.900
502252248,95.000,94.050
11892885856,103.500,89.600
1335250936,410.000,297.300
2985518827,47.100,38.500
501961067,52.800,46.400
4826933239,62.000,52.000
1375656977,62.000,61.380
533101319,40.500,40.095
2755962534,115.200,97.600
12385304648,31.600,26.500
323365298,107.700,106.623
1734287863,34.400,30.100
1053667417,268.000,257.000
3022840849,183.800,150.900
22337865,55.000,47.200
13590401226,498.000,338.000
5445160826,351.800,216.000
3552568800,192.000,190.080
12691494622,41.935,41.516
1416452599,62.000,52.000
333439740,31.000,27.400
1590051247,86.400,75.200
326242917,124.900,81.400
992888348,199.600,155.100
1412487133,62.000,52.000
22346389,145.900,144.441
12963577801,111.300,33.500
324731608,145.900,144.441
671029366,86.300,75.200
255810306,99.800,78.300
332290785,39.500,39.105
1076655206,250.000,236.900
4292387590,115.400,38.800
1734284852,34.400,30.100
13017022348,0,503
6811105020,14.900,14.751
1547221349,439.300,325.000
7264188650,59.600,52.500
1053561784,134.000,129.300
7320454822,552.000,445.000
4204848172,61.900,61.281
3735723906,207.000,175.100
1238898218,384.000,324.500
10137344178,207.000,162.000
1897417607,31.600,26.600
22346247,145.900,119.500
11892934954,207.000,162.000
10137198051,103.500,90.700
1130247749,162.400,131.000
6541427667,31.500,26.300
2200488234,86.400,75.200
6811240153,8.600,8.514
12783626238,210.000,207.900
9385505961,207.000,181.300
6811191149,8.600,8.514
652277609,62.000,52.000
522027314,39.500,39.105
394452131,162.000,160.380
590913504,291.800,238.000
502147293,70.500,63.400
12918144895,369.000,365.310
12113951047,226.500,224.235
7320235939,133.000,114.400
1139774270,402.000,383.000
2358404457,183.800,150.900
3742032262,384.000,324.500
502389581,103.500,88.100
5452137630,,130.000
10778952346,118.500,85.700
11893292947,84.000,83.160
4704492998,292.000,169.300
11893254001,42.000,41.580
9941576901,199.600,137.000
1109037450,86.400,85.536
1862191440,125.000,75.000
13626327563,248.000,204.000
868298553,199.600,183.100
3869684911,80.100,79.299
164063052,94.800,93.852
2067610413,62.000,50.900
12812868486,0,214
3099135138,439.300,325.000
422305313,357.600,354.024
1802301276,264.000,261.360
164062998,204.300,182.900
641155371,735.200,603.600
1130920711,123.800,101.000
6881037899,57.700,57.123
9321837082,476.000,349.000
13475823075,14.100,13.959
394496123,81.200,80.388
6811388896,7.900,7.821
7109777840,115.400,77.800
12847999504,18.900,14.600
1374578708,57.600,50.400
6811438301,7.900,7.821
652287410,62.000,61.380
12371521580,192.000,190.080
1682216568,72.500,68.000
502399428,149.500,126.700
2364664411,28.800,28.512
652328011,103.500,90.700
12783733886,420.000,351.600
11116680947,10.000,9.900
7899480833,240.000,213.800
590853987,486.200,420.300
12287398466,59.600,50.500
3368449063,292.000,173.100
757846046,100.200,85.500
644607914,62.000,52.000
8966580805,62.000,52.000
618145054,276.000,249.300
10955251507,57.700,57.123
502365084,149.500,131.900
502361883,103.500,102.465
13590249694,249.000,246.510
6889171906,103.500,77.600
935781411,62.000,52.000
602992284,173.100,171.369
10136917481,151.500,149.985
502284356,206.400,178.200
11589651117,138.500,137.115
5617582573,292.000,178.200
22351603,112.500,100.600
1335279658,384.000,380.160
12246796199,264.000,261.360
6889182884,207.000,155.000
6994235004,94.600,72.900
810905115,81.200,80.388
644855001,260.000,257.400
1447476105,207.000,181.300
6881051716,115.400,72.100
13841285929,62.000,61.380
502942041,130.000,128.700
1070573745,47.100,46.629
1335266313,192.000,190.080
2593975957,62.000,61.380
394492579,120.000,102.000
6814615193,10.000,9.900
12287419839,357.600,354.024
3552593279,174.000,172.260
625890883,18.900,18.711
13651844269,94.600,55.800
644612469,62.000,61.380
1335244547,205.000,202.950
6174507920,276.000,249.300
526977295,97.500,96.525
502161925,50.100,49.599
12246677354,132.000,130.680
13604328828,351.800,309.600
10887480385,204.000,169.000
2247387067,127.600,63.000
4698131566,146.000,89.700
11271635939,141.000,93.800
502167488,52.800,52.272
1238901371,348.000,319.300
644605696,62.000,61.380
1221402186,62.000,52.000
13627011713,103.500,42.000
12385285775,7.900,7.821
652285686,62.000,52.000
12804924879,79.000,66.600
513592456,145.900,119.500
7899425002,40.000,36.100
564939392,23.400,23.166
1693813890,79.000,58.200
618142203,215.400,213.246
6970737846,189.600,142.600
22351954,75.900,67.000
12349005665,37.800,37.422
1043053745,79.000,66.600
3742065184,348.000,319.300
590918314,195.000,193.050
342176101,39.500,39.105
4528355935,62.400,61.776
2761721642,84.000,67.900
502250178,95.000,86.100
685158591,28.800,28.512
501957788,243.100,240.669
2964826306,146.000,87.100
1626916748,37.800,35.500
12850122585,10.000,9.900
6539815731,52.800,52.272
1717086366,42.000,41.580
12287207239,14.900,14.751
757836611,105.600,89.900